FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022/10/2 04:21,33.93911,67.709953,199310,7800,,,Afghanistan,511.9920214,3.91350158
,,,Albania,2022/10/2 04:21,41.1533,20.1683,332263,3589,,,Albania,11545.72938,1.080168421
,,,Algeria,2022/10/2 04:21,28.0339,1.6596,270676,6879,,,Algeria,617.262399,2.541414828
,,,Andorra,2022/10/2 04:21,42.5063,1.5218,46227,155,,,Andorra,59829.15939,0.33530188
,,,Angola,2022/10/2 04:21,-11.2027,17.8739,103131,1917,,,Angola,313.7898103,1.858800942
,,,Antarctica,2022/10/2 04:21,-71.9499,23.347,11,0,,,Antarctica,,0
,,,Antigua and Barbuda,2022/10/2 04:21,17.0608,-61.7964,9098,146,,,Antigua and Barbuda,9290.499142,1.604748296
,,,Argentina,2022/10/2 04:21,-38.4161,-63.6167,9708420,129897,,,Argentina,21480.81224,1.337982906
,,,Armenia,2022/10/2 04:21,40.0691,45.0382,442875,8683,,,Armenia,14945.6641,1.960598363
,,Australian Capital Territory,Australia,2022/10/2 04:21,-35.4735,149.0124,205752,126,,,"Australian Capital Territory, Australia",48061.66783,0.061238773
,,New South Wales,Australia,2022/10/2 04:21,-33.8688,151.2093,3507880,5314,,,"New South Wales, Australia",43211.13575,0.151487508
,,Northern Territory,Australia,2022/10/2 04:21,-12.4634,130.8456,97483,73,,,"Northern Territory, Australia",39691.77524,0.074884852
,,Queensland,Australia,2022/10/2 04:21,-27.4698,153.0251,1641389,2239,,,"Queensland, Australia",32086.58,0.136408859
,,South Australia,Australia,2022/10/2 04:21,-34.9285,138.6007,768961,946,,,"South Australia, Australia",43778.02448,0.123023144
,,Tasmania,Australia,2022/10/2 04:21,-42.8821,147.3272,249621,187,,,"Tasmania, Australia",46614.56583,0.074913569
,,Victoria,Australia,2022/10/2 04:21,-37.8136,144.9631,2614813,5678,,,"Victoria, Australia",39439.70497,0.217147459
,,Western Australia,Australia,2022/10/2 04:21,-31.9505,115.8605,1154732,658,,,"Western Australia, Australia",43896.14537,0.056982919
,,,Austria,2022/10/2 04:21,47.5162,14.5501,5144116,20754,,,Austria,57116.22846,0.403451244
,,,Azerbaijan,2022/10/2 04:21,40.1431,47.5769,821532,9919,,,Azerbaijan,8102.552722,1.20737841
,,,Bahamas,2022/10/2 04:21,25.025885,-78.035889,37290,833,,,Bahamas,9482.565709,2.233842853
,,,Bahrain,2022/10/2 04:21,26.0275,50.55,680805,1520,,,Bahrain,40010.09648,0.223265105
,,,Bangladesh,2022/10/2 04:21,23.685,90.3563,2025677,29368,,,Bangladesh,1229.998536,1.449786911
,,,Barbados,2022/10/2 04:21,13.1939,-59.5432,102580,560,,,Barbados,35696.01665,0.545915383
,,,Belarus,2022/10/2 04:21,53.7098,27.9534,994037,7118,,,Belarus,10519.66591,0.716069925
,,Antwerp,Belgium,2022/10/2 04:21,51.2195,4.4024,732468,0,,,"Antwerp, Belgium",39422.68672,0
,,Brussels,Belgium,2022/10/2 04:21,50.8503,4.3517,490256,0,,,"Brussels, Belgium",40565.90503,0
,,East Flanders,Belgium,2022/10/2 04:21,51.0362,3.7373,615143,0,,,"East Flanders, Belgium",40601.78316,0
,,Flemish Brabant,Belgium,2022/10/2 04:21,50.9167,4.5833,444323,0,,,"Flemish Brabant, Belgium",38765.72077,0
,,Hainaut,Belgium,2022/10/2 04:21,50.5257,4.0621,499102,0,,,"Hainaut, Belgium",37128.90769,0
,,Liege,Belgium,2022/10/2 04:21,50.4496,5.8492,405792,0,,,"Liege, Belgium",36657.17548,0
,,Limburg,Belgium,2022/10/2 04:21,50.9739,5.342,335118,0,,,"Limburg, Belgium",38340.91492,0
,,Luxembourg,Belgium,2022/10/2 04:21,50.0547,5.4677,118216,0,,,"Luxembourg, Belgium",41532.05124,0
,,Namur,Belgium,2022/10/2 04:21,50.331,4.8221,195055,0,,,"Namur, Belgium",39458.85804,0
,,Unknown,Belgium,2022/10/2 04:21,,,61255,32673,,,"Unknown, Belgium",,53.33931924
,,Walloon Brabant,Belgium,2022/10/2 04:21,50.4,4.35,166947,0,,,"Walloon Brabant, Belgium",41364.57226,0
,,West Flanders,Belgium,2022/10/2 04:21,51.0536,3.1458,480830,0,,,"West Flanders, Belgium",40210.03583,0
,,,Belize,2022/10/2 04:21,17.1899,-88.4976,68854,686,,,Belize,17316.48982,0.996311035
,,,Benin,2022/10/2 04:21,9.3077,2.3158,27638,163,,,Benin,227.9761495,0.589767711
,,,Bhutan,2022/10/2 04:21,27.5142,90.4336,61969,21,,,Bhutan,8031.108899,0.033887912
,,,Bolivia,2022/10/2 04:21,-16.2902,-63.5887,1108316,22237,,,Bolivia,9494.673576,2.006377243
,,,Bosnia and Herzegovina,2022/10/2 04:21,43.9159,17.6791,398750,16137,,,Bosnia and Herzegovina,12153.99222,4.046896552
,,,Botswana,2022/10/2 04:21,-22.3285,24.6849,326308,2789,,,Botswana,13875.8518,0.854713951
,,Acre,Brazil,2022/10/2 04:21,-9.0238,-70.812,149723,2029,,,"Acre, Brazil",16976.64794,1.355169212
,,Alagoas,Brazil,2022/10/2 04:21,-9.5713,-36.782,321103,7124,,,"Alagoas, Brazil",9621.475916,2.218602754
,,Amapa,Brazil,2022/10/2 04:21,0.902,-52.003,178276,2163,,,"Amapa, Brazil",21079.51583,1.213287262
,,Amazonas,Brazil,2022/10/2 04:21,-3.4168,-65.8561,616307,14327,,,"Amazonas, Brazil",14870.13092,2.324653136
,,Bahia,Brazil,2022/10/2 04:21,-12.5797,-41.7007,1697693,30703,,,"Bahia, Brazil",11414.5478,1.808513082
,,Ceara,Brazil,2022/10/2 04:21,-5.4984,-39.3206,1384594,27678,,,"Ceara, Brazil",15161.87225,1.99899754
